company_Id,zubale_Id,determinante
Soriana-896,1236,896
Soriana-890,1238,890
Soriana-946,1239,946
Soriana-986,1240,986
Chedraui-141,1249,141
Chedraui-158,1250,158
Chedraui-147,1251,147
Chedraui-181,1252,181
Chedraui-173,1253,173
Chedraui-165,1254,165
Chedraui-670,1255,670
Chedraui-100,1256,100
Chedraui-121,1257,121
Chedraui-175,1258,175
Chedraui-234,1259,234
Chedraui-233,1260,233
Chedraui-129,1261,129
Chedraui-177,1330,177
La Comer-380,1354,380
La Comer-379,1355,379
La Comer-363,1356,363
La Comer-377,1357,377
La Comer-403,1358,403
Soriana-941,1366,941
La Comer-423,1387,423
La Comer-137,1388,137
La Comer-17,1397,17
La Comer-55,1398,55
La Comer-287,1399,287
La Comer-198,1400,198
La Comer-420,1401,420
La Comer-400,1402,400
La Comer-112,1403,112
Soriana-397,1415,397
Soriana-857,1418,857
Walmart-6205,1453,6205
Soriana-625,1510,625
Soriana-252,1511,252
Soriana-547,1512,547
Soriana-554,1513,554
Soriana-261,1537,261
Soriana-253,1539,253
Soriana-255,1540,255
Soriana-522,1541,522
Soriana-418,1542,418
Soriana-290,1543,290
Soriana-257,1544,257
Soriana-269,1545,269
Soriana-250,1546,250
Soriana-286,1547,286
Soriana-251,1548,251
Soriana-262,1549,262
Soriana-419,1550,419
Soriana-300,1551,300
Soriana-272,1552,272
Soriana-660,1627,660
Soriana-683,1674,683
Soriana-279,1678,279
Soriana-469,1679,469
Soriana-284,1680,284
La Comer-238,1708,238
La Comer-237,1709,237
La Comer-252,1710,252
La Comer-229,1711,229
La Comer-235,1712,235
La Comer-227,1713,227
La Comer-233,1714,233
La Comer-230,1715,230
La Comer-232,1716,232
La Comer-231,1717,231
Devlyn-Perisur,2355,0
Liverpool-456,2502,456
Devlyn-Farmacia Paris,2609,0
Ben & Frank-Condesa,2612,0
Ben & Frank-,2613,0
Ben & Frank-Barrio Alameda,2614,0
Ben & Frank-Las Antenas,2618,0
Ben & Frank-,2619,0
Ben & Frank-Artz,2623,0
Ben & Frank-,2625,0
Ben & Frank-Universidad,2627,0
Soriana-685,2638,685
Soriana-960,2644,960
Soriana-180,2675,180
Soriana-188,2677,188
Devlyn-Santa Fe,2685,0
La Comer-127,2700,127
La Comer-149,2701,149
Ben & Frank-,2720,0
Walmart-1229,3439,1229
Walmart-1480,3440,1480
Walmart-1563,3534,1563
El Palacio de Hierro-1,4364,1
El Palacio de Hierro-2,4365,2
El Palacio de Hierro-3,4366,3
El Palacio de Hierro-4,4367,4
El Palacio de Hierro-5,4368,5
La Castellana-6,4376,6
La Naval-1,4378,1
La Naval-2,4379,2
La Naval-3,4380,3
La Naval-4,4381,4
La Naval-5,4382,5
La Naval-6,4383,6
La Naval-7,4384,7
La Castellana-1,4385,1
Zubale-Tienda de Prueba,5064,0
+Kota-Las Aguilas,6994,0
Petco-Huichapan,6995,0
+Kota-Condesa,6996,0
Petco-Mixcoac,6997,0
Petco-7102,6998,7102
Petco-Patio Tlalpan,6999,0
+Kota-Cuicuilco,7000,0
YEMA-Nuevo Leon,7528,0
Go Mart-87,9689,87
Go Mart-89,9690,89
Go Mart-6,9691,6
Go Mart-23,9692,23
Go Mart-68,9695,68
Krispy Kreme-Altavista,10595,0
Krispy Kreme-Antara,10596,0
Krispy Kreme-BA Santa Fe,10598,0
Krispy Kreme-BA Xochimilco,10600,0
Krispy Kreme-KK World Trade Center,11453,0
Krispy Kreme-KK 16 de Septiembre,11454,0
Toks-324,11455,324
Chedraui-132,11464,132
Starbucks-Starbucks Miyana,12245,0
Sugar Fit-SUGARFIT,16447,0
Sushi Roll-44,16508,44
Sushi Roll-455,16511,455
Sushi Roll-452,16514,452
Sushi Roll-416,16516,416
Zorro Abarrotero-0,16567,0
Zorro Abarrotero-0,16568,0
Zorro Abarrotero-0,16569,0
Zorro Abarrotero-0,16570,0
Zorro Abarrotero-0,16571,0
Zorro Abarrotero-0,16572,0
Zorro Abarrotero-0,16573,0
Zorro Abarrotero-0,16574,0
Zorro Abarrotero-0,16575,0
Zorro Abarrotero-0,16576,0
Zorro Abarrotero-0,16577,0
Zorro Abarrotero-0,16578,0
Zorro Abarrotero-0,16579,0
Zorro Abarrotero-0,16580,0
Zorro Abarrotero-0,16581,0
Zorro Abarrotero-0,16582,0
Zorro Abarrotero-0,16583,0
Zorro Abarrotero-0,16584,0
Zorro Abarrotero-0,16585,0
Zorro Abarrotero-0,16586,0
Zorro Abarrotero-0,16587,0
Zorro Abarrotero-0,16588,0
Zorro Abarrotero-0,16589,0
Zorro Abarrotero-0,16590,0
Zorro Abarrotero-0,16591,0
Zorro Abarrotero-0,16592,0
Scorpion Abarrotero-0,16593,0
Scorpion Abarrotero-0,16594,0
Scorpion Abarrotero-0,16595,0
Scorpion Abarrotero-0,16596,0
Scorpion Abarrotero-0,16597,0
Scorpion Abarrotero-0,16598,0
Scorpion Abarrotero-0,16599,0
Scorpion Abarrotero-0,16600,0
Scorpion Abarrotero-0,16601,0
Scorpion Abarrotero-0,16602,0
Scorpion Abarrotero-0,16603,0
Scorpion Abarrotero-0,16604,0
Scorpion Abarrotero-0,16605,0
El Puma Abarrotero-0,16606,0
El Puma Abarrotero-0,16607,0
El Puma Abarrotero-0,16608,0
El Puma Abarrotero-0,16609,0
El Puma Abarrotero-0,16610,0
Soriana-1027,16617,1027
Toks-196,17243,196
Toks-1030,17244,1030
Toks-37,17245,37
Toks-405,17246,405
Toks-1006,17247,1006
Toks-410,17248,410
Toks-424,17249,424
Toks-1026,17250,1026
Toks-67,17251,67
Toks-79,17252,79
Toks-25,17253,25
Toks-236,17254,236
Toks-26,17255,26
Toks-388,17256,388
Toks-1029,17257,1029
Toks-36,17258,36
Toks-100,17259,100
